iter	Passed	Remaining
420	2295	3156
421	2301	3152
422	2306	3146
423	2311	3139
424	2317	3135
425	2322	3128
426	2328	3124
427	2333	3119
428	2338	3112
429	2343	3106
430	2348	3100
431	2353	3094
432	2357	3087
433	2365	3084
434	2372	3081
435	2377	3075
436	2382	3069
437	2387	3062
438	2392	3056
439	2403	3058
440	2407	3052
441	2413	3046
442	2417	3040
443	2422	3033
444	2427	3026
445	2433	3023
446	2440	3018
447	2445	3012
448	2453	3010
449	2461	3009
450	2473	3011
451	2479	3006
452	2490	3007
453	2496	3002
454	2511	3007
455	2516	3002
456	2525	3000
457	2532	2996
458	2537	2990
459	2543	2985
460	2548	2979
461	2552	2972
462	2558	2967
463	2563	2961
464	2567	2954
465	2571	2946
466	2575	2939
467	2579	2931
468	2585	2926
469	2590	2921
470	2594	2914
471	2599	2907
472	2603	2900
473	2608	2894
474	2612	2887
475	2616	2880
476	2620	2873
477	2625	2866
478	2629	2859
479	2633	2852
480	2637	2846
481	2642	2840
482	2647	2833
483	2651	2826
484	2656	2821
485	2661	2814
486	2666	2808
487	2670	2801
488	2675	2795
489	2679	2789
490	2683	2782
491	2687	2775
492	2691	2768
493	2698	2764
494	2703	2758
495	2708	2751
496	2712	2745
497	2716	2738
498	2721	2732
499	2725	2725
500	2729	2718
501	2734	2712
502	2738	2706
503	2742	2699
504	2746	2692
505	2751	2686
506	2755	2679
507	2760	2673
508	2764	2666
509	2770	2661
510	2774	2655
511	2779	2649
512	2784	2643
513	2789	2637
514	2794	2631
515	2798	2624
516	2802	2618
517	2806	2611
518	2810	2604
519	2814	2597
520	2819	2591
521	2823	2585
522	2828	2579
523	2832	2572
524	2835	2565
525	2840	2559
526	2847	2555
527	2851	2548
528	2854	2541
529	2859	2535
530	2863	2529
531	2868	2523
532	2872	2516
533	2876	2509
534	2879	2503
535	2884	2496
536	2889	2490
537	2894	2485
538	2899	2479
539	2903	2473
540	2907	2466
541	2912	2460
542	2916	2454
543	2920	2448
544	2924	2441
545	2928	2435
546	2932	2428
547	2937	2423
548	2941	2416
549	2946	2410
550	2950	2404
551	2954	2398
552	2958	2391
553	2962	2385
554	2967	2379
555	2973	2374
556	2977	2368
557	2982	2362
558	2987	2356
559	2992	2350
560	2996	2344
561	3000	2338
562	3005	2333
563	3010	2326
564	3014	2320
565	3019	2315
566	3025	2310
567	3030	2304
568	3036	2300
569	3040	2294
570	3045	2288
571	3050	2282
572	3055	2277
573	3060	2271
574	3065	2265
575	3070	2260
576	3075	2254
577	3079	2248
578	3084	2242
579	3090	2237
580	3095	2232
581	3100	2227
582	3106	2221
583	3110	2215
584	3115	2210
585	3120	2204
586	3125	2198
587	3129	2192
588	3134	2187
589	3139	2181
590	3143	2175
591	3147	2169
592	3151	2163
593	3156	2157
594	3162	2152
595	3167	2147
596	3172	2141
597	3176	2135
598	3180	2129
599	3186	2124
600	3192	2119
601	3197	2114
602	3202	2108
603	3208	2103
604	3213	2097
605	3217	2092
606	3223	2086
607	3228	2081
608	3233	2076
609	3238	2070
610	3242	2064
611	3247	2058
612	3251	2052
613	3256	2047
614	3262	2042
615	3267	2036
616	3271	2030
617	3276	2025
618	3281	2019
619	3287	2014
620	3291	2008
621	3296	2003
622	3300	1997
623	3304	1991
624	3309	1985
625	3314	1980
626	3319	1974
627	3324	1969
628	3328	1963
629	3334	1958
630	3339	1952
631	3344	1947
632	3348	1941
633	3352	1935
634	3356	1929
635	3360	1923
636	3364	1917
637	3370	1912
638	3374	1906
639	3379	1900
640	3384	1895
641	3388	1889
642	3394	1884
643	3398	1878
644	3403	1873
645	3407	1867
646	3411	1861
647	3416	1855
648	3425	1852
649	3430	1847
650	3435	1841
651	3440	1836
652	3444	1830
653	3449	1824
654	3453	1819
655	3458	1813
656	3463	1808
657	3469	1803
658	3473	1797
659	3478	1792
660	3483	1786
661	3488	1780
662	3492	1775
663	3496	1769
664	3500	1763
665	3508	1759
666	3514	1754
667	3519	1749
668	3524	1743
669	3528	1738
670	3534	1732
671	3542	1729
672	3547	1723
673	3552	1718
674	3557	1713
675	3563	1707
676	3567	1701
677	3571	1696
678	3576	1690
679	3581	1685
680	3586	1679
681	3590	1674
682	3594	1668
683	3598	1662
684	3603	1656
685	3608	1651
686	3613	1646
687	3618	1640
688	3622	1635
689	3626	1629
690	3633	1624
691	3640	1620
692	3646	1615
693	3651	1609
694	3656	1604
695	3660	1598
696	3664	1593
697	3668	1587
698	3674	1582
699	3678	1576
700	3683	1571
701	3688	1565
702	3696	1561
703	3701	1556
704	3706	1550
705	3710	1545
706	3714	1539
707	3718	1533
708	3722	1527
709	3726	1522
710	3731	1516
711	3736	1511
712	3740	1505
713	3745	1500
714	3749	1494
715	3754	1489
716	3759	1483
717	3764	1478
718	3769	1473
719	3777	1468
720	3782	1463
721	3787	1458
722	3792	1452
723	3796	1447
724	3801	1441
725	3806	1436
726	3811	1431
727	3816	1425
728	3820	1420
729	3824	1414
730	3830	1409
731	3834	1403
732	3839	1398
733	3846	1394
734	3851	1388
735	3855	1382
736	3859	1377
737	3863	1371
738	3867	1366
739	3872	1360
740	3877	1355
741	3881	1349
742	3885	1344
743	3890	1338
744	3899	1334
745	3904	1329
746	3908	1323
747	3914	1318
748	3919	1313
749	3924	1308
750	3929	1302
751	3933	1297
752	3938	1292
753	3943	1286
754	3948	1281
755	3954	1276
756	3959	1271
757	3964	1265
758	3968	1260
759	3973	1254
760	3977	1249
761	3981	1243
762	3986	1238
763	3990	1232
764	3996	1227
765	4001	1222
766	4006	1217
767	4011	1211
768	4015	1206
769	4021	1201
770	4034	1198
771	4040	1193
772	4045	1188
773	4049	1182
774	4053	1176
775	4057	1171
776	4061	1165
777	4066	1160
778	4070	1154
779	4075	1149
780	4080	1144
781	4084	1138
782	4089	1133
783	4093	1127
784	4098	1122
785	4102	1116
786	4106	1111
787	4111	1106
788	4115	1100
789	4119	1094
790	4123	1089
791	4128	1084
792	4132	1078
793	4136	1073
794	4141	1067
795	4146	1062
796	4151	1057
797	4155	1051
798	4160	1046
799	4164	1041
800	4169	1035
801	4173	1030
802	4178	1025
803	4183	1019
804	4187	1014
805	4192	1009
806	4197	1003
807	4201	998
808	4206	993
809	4211	987
810	4217	982
811	4221	977
812	4226	972
813	4230	966
814	4234	961
815	4238	955
816	4242	950
817	4248	945
818	4253	940
819	4258	934
820	4265	929
821	4270	924
822	4274	919
823	4278	913
824	4283	908
825	4287	903
826	4291	897
827	4304	894
828	4310	889
829	4315	883
830	4319	878
831	4323	873
832	4327	867
833	4332	862
834	4336	856
835	4340	851
836	4345	846
837	4350	841
838	4356	835
839	4361	830
840	4368	825
841	4372	820
842	4377	815
843	4382	810
844	4386	804
845	4390	799
846	4396	794
847	4403	789
848	4408	783
849	4413	778
850	4417	773
851	4422	768
852	4427	763
853	4433	757
854	4438	752
855	4444	747
856	4450	742
857	4457	737
858	4462	732
859	4466	727
860	4471	721
861	4476	716
862	4481	711
863	4486	706
864	4490	700
865	4495	695
866	4499	690
867	4504	685
868	4509	679
869	4514	674
870	4519	669
871	4525	664
872	4529	658
873	4534	653
874	4539	648
875	4544	643
876	4548	637
877	4552	632
878	4557	627
879	4561	622
880	4565	616
881	4569	611
882	4574	606
883	4578	600
884	4586	595
885	4592	590
886	4597	585
887	4601	580
888	4606	575
889	4611	569
890	4615	564
891	4619	559
892	4632	555
893	4637	549
894	4642	544
895	4647	539
896	4651	534
897	4655	528
898	4660	523
899	4664	518
900	4669	513
901	4674	507
902	4679	502
903	4683	497
904	4688	492
905	4696	487
906	4701	482
907	4707	476
908	4712	471
909	4716	466
910	4721	461
911	4727	456
912	4733	451
913	4740	446
914	4745	440
915	4755	436
916	4760	430
917	4765	425
918	4770	420
919	4774	415
920	4779	409
921	4783	404
922	4787	399
923	4791	394
924	4795	388
925	4801	383
926	4806	378
927	4810	373
928	4815	368
929	4820	362
930	4824	357
931	4829	352
932	4834	347
933	4839	341
934	4843	336
935	4848	331
936	4853	326
937	4863	321
938	4868	316
939	4873	311
940	4877	305
941	4883	300
942	4888	295
943	4893	290
944	4898	285
945	4903	279
946	4908	274
947	4912	269
948	4917	264
949	4922	259
950	4927	253
951	4931	248
952	4936	243
953	4940	238
954	4945	233
955	4950	227
956	4955	222
957	4960	217
958	4965	212
959	4969	207
960	4974	201
961	4979	196
962	4984	191
963	4988	186
964	4997	181
965	5002	176
966	5007	170
967	5012	165
968	5017	160
969	5021	155
970	5026	150
971	5030	144
972	5034	139
973	5039	134
974	5043	129
975	5048	124
976	5054	118
977	5058	113
978	5063	108
979	5067	103
980	5071	98
981	5077	93
982	5083	87
983	5088	82
984	5093	77
985	5098	72
986	5102	67
987	5106	62
988	5112	56
989	5117	51
990	5122	46
991	5127	41
992	5133	36
993	5138	31
994	5143	25
995	5148	20
996	5153	15
997	5158	10
998	5162	5
999	5167	0
