iter	RMSE
0	2.313038663
1	2.243067296
2	2.176515207
3	2.114376906
4	2.059762289
5	2.005992161
6	1.957676568
7	1.912446884
8	1.870238916
9	1.830904897
10	1.794210886
11	1.756792486
12	1.721972196
13	1.693098727
14	1.663089756
15	1.635710737
16	1.61044654
17	1.5872915
18	1.563767994
19	1.542286212
20	1.523078741
21	1.504880198
22	1.488741646
23	1.473063711
24	1.458274411
25	1.443867638
26	1.431075165
27	1.41867119
28	1.408493641
29	1.398697286
30	1.388389267
31	1.379604886
32	1.371804108
33	1.36421177
34	1.355909162
35	1.348547309
36	1.341624803
37	1.335658846
38	1.329707755
39	1.324173004
40	1.319444321
41	1.314444268
42	1.310394475
43	1.305098234
44	1.30038874
45	1.296265183
46	1.292035148
47	1.287316439
48	1.284682591
49	1.281446633
50	1.278185774
51	1.274805702
52	1.272336823
53	1.269473715
54	1.26502233
55	1.262557192
56	1.259050154
57	1.25568674
58	1.251419716
59	1.248370568
60	1.245600511
61	1.242826504
62	1.240635904
63	1.238882957
64	1.236891036
65	1.234636021
66	1.232134139
67	1.229393109
68	1.227387857
69	1.224807432
70	1.221592378
71	1.219809787
72	1.218256257
73	1.216398393
74	1.215029567
75	1.21353743
76	1.211757488
77	1.209961106
78	1.207760844
79	1.206775446
80	1.205634719
81	1.203485839
82	1.201964425
83	1.199558995
84	1.197812552
85	1.196509578
86	1.194186805
87	1.192813731
88	1.191131012
89	1.190274963
90	1.188433653
91	1.187348452
92	1.185125742
93	1.183329131
94	1.181803491
95	1.180792187
96	1.179155182
97	1.178009444
98	1.176058603
99	1.174500002
100	1.17332339
101	1.172099769
102	1.170837529
103	1.16982934
104	1.168545211
105	1.167624663
106	1.166949501
107	1.165603864
108	1.164564266
109	1.163640997
110	1.162181206
111	1.1611503
112	1.160137008
113	1.158715827
114	1.157268451
115	1.155924805
116	1.155027371
117	1.154181416
118	1.152621812
119	1.151503902
120	1.150158466
121	1.149309666
122	1.148415132
123	1.146876492
124	1.145725854
125	1.145000094
126	1.144287065
127	1.143256308
128	1.142101644
129	1.140868381
130	1.139436498
131	1.138478748
132	1.137049337
133	1.136021988
134	1.133996731
135	1.132764092
136	1.131534854
137	1.130445994
138	1.129484161
139	1.128631122
140	1.127816116
141	1.127131853
142	1.126396393
143	1.12544962
144	1.124181
145	1.123583444
146	1.122516978
147	1.121687664
148	1.120803616
149	1.119981078
150	1.119325778
151	1.118188099
152	1.117161236
153	1.116297645
154	1.115319493
155	1.113742834
156	1.112789632
157	1.11134919
158	1.110431423
159	1.109478591
160	1.108152021
161	1.10713591
162	1.106253578
163	1.105596001
164	1.104779172
165	1.103980496
166	1.102892848
167	1.101747497
168	1.100791617
169	1.09961215
170	1.098330846
171	1.09745033
172	1.096091653
173	1.095166451
174	1.093632087
175	1.092853667
176	1.092070257
177	1.090868113
178	1.089847431
